season,team,gamesPlayed,wins,losses,roadWins,top10Wins,rankedWins,conferenceChampion,avgMOV,stdMOV,totalPoints,totalPointsAllowed,avgOpponentRatingNorm,EOSWStreak,bestWin,worstLoss,totalPlayoffPoints,endOfSeasonRank,madeTop12
2015,Air Force,13,8,5,2,1,1,0,10.384615384615385,24.496729242691636,437.0,302.0,-0.26808770194289483,0,1.0016245299126691,-0.8891610932954557,133.64954664924923,,0
2015,Akron,12,7,5,4,0,1,0,2.5,27.02019446804388,288.0,258.0,-0.7232115206321862,4,-0.2725117863744473,-0.4317788259103369,114.64404122528954,,0
2015,Alabama,13,12,1,4,3,7,0,19.692307692307693,13.780327858851397,443.0,187.0,0.8287449228950797,10,1.773457106125057,1.2139805826271886,149.23961115380598,2.0,1
2015,App State,12,10,2,5,0,1,0,18.916666666666668,24.67040307491525,446.0,219.0,-0.9066099297947257,3,0.06235737367537179,-0.5134542308005366,111.6414064548114,,0
2015,Arizona,12,6,6,2,2,3,0,1.0833333333333333,31.274323866925297,441.0,428.0,0.37198140857731093,0,1.2343994338497386,0.04602229269733183,132.5747549356347,,0
2015,Arizona State,12,6,6,1,2,3,0,1.3333333333333333,18.19756893520437,408.0,392.0,0.49709327879548054,0,1.2384832040942486,0.1644516297881215,131.62311104424023,,0
2015,Arkansas,12,7,5,3,2,4,0,7.416666666666667,16.89786610160818,422.0,333.0,0.7495445302742799,1,1.4222528650971982,0.03785475220831185,135.75629250967575,,0
2015,Arkansas State,12,9,3,4,1,2,0,12.166666666666666,30.13856886670854,492.0,346.0,-0.7673904896409759,8,0.8341899498877597,0.1358652380765516,113.92073446883833,,0
2015,Army,12,2,10,1,0,1,0,-5.75,14.629515619894164,265.0,334.0,-0.4628154797686128,0,-1.6038208860847036,-1.5507318729060737,113.64299667520501,,0
2015,Auburn,12,6,6,2,1,4,0,-0.16666666666666666,13.868429375143146,326.0,328.0,0.5691161358350204,0,0.8750276523328596,0.8546088011103097,132.80228340349683,,0
2015,BYU,12,9,3,3,1,2,0,12.333333333333334,23.784384997240725,410.0,262.0,0.08463248409997175,2,0.8546088011103097,0.3972265337251909,126.87022191468313,,0
2015,Ball State,12,3,9,1,0,2,0,-12.75,19.39599302573976,277.0,430.0,-0.32708580691471717,0,-1.477224008504894,-1.7671716958651031,121.12948920120083,,0
2015,Baylor,12,9,3,4,1,3,0,20.5,22.793539754620266,576.0,330.0,0.27805469295358126,0,1.4100015543636681,-0.14183113855012766,130.0369683021712,17.0,0
2015,Boise State,12,8,4,4,0,0,0,16.416666666666668,26.279817120345186,453.0,256.0,-0.34601965077562713,1,0.48298570885990066,-1.1709412401666448,120.81950059129316,,0
2015,Boston College,12,3,9,0,3,3,0,1.9166666666666667,25.61767264048691,206.0,183.0,0.5119804775959216,0,0.08277622489792173,-0.7176427430260361,126.15167926049108,,0
2015,Bowling Green,13,10,3,6,0,1,0,16.692307692307693,23.760557707345647,564.0,347.0,-0.352616510401374,2,0.4993207898379406,0.43398046592578077,136.5681310572882,,0
2015,Buffalo,12,5,7,3,0,0,0,-0.9166666666666666,20.124423575407675,320.0,331.0,-0.8305033025106758,0,-0.721726513270546,-1.5752344943731338,112.88743910247945,,0
2015,California,12,7,5,2,1,2,0,6.25,22.413976970550397,438.0,363.0,0.5668886247925604,1,0.6585878293738302,0.8546088011103097,135.7658141552724,,0
2015,Central Michigan,12,7,5,3,1,1,0,4.75,15.028004161927461,322.0,265.0,-0.47818530596158676,2,0.07869245465341174,-0.5338730820230866,118.65565852997693,,0
2015,Charlotte,12,2,10,1,0,0,0,-18.75,23.05379085372453,210.0,435.0,-0.8123119623305858,0,-1.6936638314639234,-1.6773287504858834,113.18527129631231,,0
2015,Cincinnati,12,7,5,2,0,1,0,5.833333333333333,23.32705543251259,433.0,363.0,-0.09282589561600779,1,0.47481816837088064,0.029687211719291874,124.96483847280348,,0
2015,Clemson,13,13,0,5,2,3,0,18.23076923076923,16.07873256900683,500.0,263.0,0.43602235104803583,13,1.430420405586218,,143.22535907864045,1.0,1
2015,Colorado,13,4,9,1,0,4,0,-2.8461538461538463,22.486463164335685,320.0,357.0,0.42751449637197325,0,0.12361392734302162,-0.6523024191138763,145.07340387770535,,0
2015,Colorado State,12,7,5,4,0,1,0,3.0,21.784064233871845,362.0,326.0,-0.41841375965557687,4,-0.21942277319581743,-0.33376834004209716,118.63425002399916,,0
2015,Duke,12,7,5,4,0,3,0,6.416666666666667,25.325008600315627,366.0,289.0,0.0018433236885419485,1,1.4100015543636681,-0.39094112346523696,126.51478152234179,,0
2015,East Carolina,12,5,7,2,0,1,0,1.4166666666666667,17.67102576295874,329.0,312.0,-0.18081258179317752,0,0.47481816837088064,-0.8074856884052558,123.52430316793846,,0
2015,Eastern Michigan,12,1,11,1,1,2,0,-16.666666666666668,15.773011088180937,305.0,505.0,-0.47942281209628673,0,-0.8687422420729057,-2.102040855914922,122.87497945802063,,0
2015,Florida,13,10,3,3,3,4,0,7.923076923076923,18.83463803059644,318.0,215.0,0.47701712157946297,0,1.3691638519185683,1.1608915694485589,148.6206784840752,19.0,0
2015,Florida Atlantic,12,3,9,2,1,1,0,-6.25,11.434596626029272,270.0,345.0,-0.3565693905739446,1,-0.3215170293085672,-1.9550251271125627,125.06921255952389,,0
2015,Florida International,12,5,7,1,0,0,0,-4.333333333333333,29.582959878137874,306.0,358.0,-0.47595779491912676,0,0.4870694791044106,-1.489475319238424,120.69212777820135,,0
