cfb_name,teamrankings_name,Logo,Color1,Color2
Florida Atlantic,Florida Atlantic,http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png,#003366,#CC0000
Florida Gulf Coast,FGCU,,,
Florida International,Florida Intl,http://a.espncdn.com/i/teamlogos/ncaa/500/2229.png,#081E3F,#B6862C
Florida State,Florida St,http://a.espncdn.com/i/teamlogos/ncaa/500/52.png,#782F40,#CEB888
Fordham,Fordham,#N/A,#N/A,#N/A
Fresno State,Fresno St,http://a.espncdn.com/i/teamlogos/ncaa/500/278.png,#C41230,#002C76
Furman,Furman,#N/A,#N/A,#N/A
Gardner-Webb,Gardner-Webb,#N/A,#N/A,#N/A
George Mason,George Mason,#N/A,#N/A,#N/A
George Washington,G Washington,#N/A,#N/A,#N/A
Georgetown,Georgetown,#N/A,#N/A,#N/A
Georgia,Georgia,http://a.espncdn.com/i/teamlogos/ncaa/500/61.png,#DA291C,#000000
Georgia Southern,Georgia So,http://a.espncdn.com/i/teamlogos/ncaa/500/290.png,#011e41,#FFFFFF
Georgia State,Georgia St,http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png,#0039A6,#FFFFFF
Georgia Tech,Georgia Tech,http://a.espncdn.com/i/teamlogos/ncaa/500/59.png,#C59353,#FFFFFF
Gonzaga,Gonzaga,#N/A,#N/A,#N/A
Grambling,Grambling,#N/A,#N/A,#N/A
Grand Canyon,Grand Canyon,,,
Green Bay,Green Bay,#N/A,#N/A,#N/A
Hampton,Hampton,#N/A,#N/A,#N/A
Hartford,Hartford,#N/A,#N/A,#N/A
Harvard,Harvard,#N/A,#N/A,#N/A
Hawai'i,Hawai'i,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png,#024731,#FFFFFF
High Point,High Point,#N/A,#N/A,#N/A
Hofstra,Hofstra,#N/A,#N/A,#N/A
Holy Cross,Holy Cross,#N/A,#N/A,#N/A
Houston,Houston,http://a.espncdn.com/i/teamlogos/ncaa/500/248.png,#C92839,#FFFFFF
Houston Christian,Hou Christian,,,
Howard,Howard,#N/A,#N/A,#N/A
Idaho, Idah,http://a.espncdn.com/i/teamlogos/ncaa/500/70.png,#9F9D9D,#B18E5F
Idaho State,Idaho St,#N/A,#N/A,#N/A
Illinois,Illinois,http://a.espncdn.com/i/teamlogos/ncaa/500/356.png,#e04e39,#13294b
Illinois State,Illinois St,#N/A,#N/A,#N/A
Incarnate Word,Incarnate Word,,,
Indiana,Indiana,http://a.espncdn.com/i/teamlogos/ncaa/500/84.png,#990000,#EEEDEB
Indiana State,Indiana St,#N/A,#N/A,#N/A
Iona,Iona,#N/A,#N/A,#N/A
Iowa,Iowa,http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,#000000,#FFE100
Iowa State,Iowa St,http://a.espncdn.com/i/teamlogos/ncaa/500/66.png,#a6192e,#FDC82F
IU Indianapolis,IU Indy,#N/A,#N/A,#N/A
Jackson State,Jackson St,#N/A,#N/A,#N/A
Jacksonville,Jacksonville,#N/A,#N/A,#N/A
Jacksonville State,Jacksonville St,http://a.espncdn.com/i/teamlogos/ncaa/500/55.png,#CC0000,#ffffff
James Madison,J Madison,http://a.espncdn.com/i/teamlogos/ncaa/500/256.png,#450084,#CBB677
Kansas,Kansas,http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,#0051BA,#E8000D
Kansas City,Kansas City,#N/A,#N/A,#N/A
Kansas State,Kansas St,http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,#512888,#FFFFFF
Kennesaw State,Kennesaw St,http://a.espncdn.com/i/teamlogos/ncaa/500/338.png,#FDBB30,#0B1315
Kent State,Kent St,http://a.espncdn.com/i/teamlogos/ncaa/500/2309.png,#002664,#EAAB00
Kentucky,Kentucky,http://a.espncdn.com/i/teamlogos/ncaa/500/96.png,#0033A0,#FFFFFF
La Salle,La Salle,#N/A,#N/A,#N/A
Lafayette,Lafayette,#N/A,#N/A,#N/A
Lamar,Lamar,#N/A,#N/A,#N/A
Le Moyne,Le Moyne,,,
Lehigh,Lehigh,#N/A,#N/A,#N/A
Liberty,Liberty,http://a.espncdn.com/i/teamlogos/ncaa/500/2335.png,#002d62,#c41230
Lindenwood,Lindenwood,,,
Lipscomb,Lipscomb,#N/A,#N/A,#N/A
Little Rock,Little Rock,#N/A,#N/A,#N/A
Long Beach State,Long Beach St,#N/A,#N/A,#N/A
Long Island University,LIU-Brooklyn,#N/A,#N/A,#N/A
Longwood,Longwood,#N/A,#N/A,#N/A
Louisiana,Louisiana,http://a.espncdn.com/i/teamlogos/ncaa/500/309.png,#ce181e,#FFFFFF
Louisiana Tech,Louisiana Tech,http://a.espncdn.com/i/teamlogos/ncaa/500/2348.png,#003087,#CB333B
Louisville,Louisville,http://a.espncdn.com/i/teamlogos/ncaa/500/97.png,#AD0000,#000000
Loyola Chicago,Loyola Chi,#N/A,#N/A,#N/A
Loyola Maryland,Loyola MD,#N/A,#N/A,#N/A
Loyola Marymount,Loyola Mymt,#N/A,#N/A,#N/A
LSU,LSU,http://a.espncdn.com/i/teamlogos/ncaa/500/99.png,#582c83,#ffc72c
Maine,Maine,#N/A,#N/A,#N/A
Manhattan,Manhattan,#N/A,#N/A,#N/A
Marist,Marist,#N/A,#N/A,#N/A
Marquette,Marquette,#N/A,#N/A,#N/A
Marshall,Marshall,http://a.espncdn.com/i/teamlogos/ncaa/500/276.png,#006140,#FFFFFF
Maryland,Maryland,http://a.espncdn.com/i/teamlogos/ncaa/500/120.png,#c8102e,#FFFFFF
Maryland Eastern Shore,Maryland ES,#N/A,#N/A,#N/A
Massachusetts,UMass,http://a.espncdn.com/i/teamlogos/ncaa/500/113.png,#881c1c,#FFFFFF
McNeese,McNeese,#N/A,#N/A,#N/A
Memphis,Memphis,http://a.espncdn.com/i/teamlogos/ncaa/500/235.png,#0D3182,#888C8F
Mercer,Mercer,#N/A,#N/A,#N/A
Merrimack,Merrimack,,,
Miami,Miami,http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,#005030,#f47321
Miami (OH),Miami OH,http://a.espncdn.com/i/teamlogos/ncaa/500/193.png,#B61E2E,#FFFFFF
Michigan,Michigan,http://a.espncdn.com/i/teamlogos/ncaa/500/130.png,#ffcb05,#00274c
Michigan State,Michigan St,http://a.espncdn.com/i/teamlogos/ncaa/500/127.png,#18453B,#FFFFFF
Middle Tennessee,Middle Tenn,http://a.espncdn.com/i/teamlogos/ncaa/500/2393.png,#0066CC,#FFFFFF
Milwaukee,Milwaukee,#N/A,#N/A,#N/A
Minnesota,Minnesota,http://a.espncdn.com/i/teamlogos/ncaa/500/135.png,#7a0019,#ffcc33
Mississippi State,Mississippi St,http://a.espncdn.com/i/teamlogos/ncaa/500/344.png,#660000,#FFFFFF
Mississippi Valley State,Miss Valley St,#N/A,#N/A,#N/A
Missouri,Missouri,http://a.espncdn.com/i/teamlogos/ncaa/500/142.png,#000000,#F1B82D
Missouri State,Missouri St,http://a.espncdn.com/i/teamlogos/ncaa/500/2623.png,#5E0009,#000000
Monmouth,Monmouth,#N/A,#N/A,#N/A
Montana,Montana,#N/A,#N/A,#N/A
Montana State,Montana St,#N/A,#N/A,#N/A
Morehead State,Morehead St,#N/A,#N/A,#N/A
Morgan State,Morgan St,#N/A,#N/A,#N/A
Mount St. Mary's,Mt St Mary's,#N/A,#N/A,#N/A
Murray State,Murray St,#N/A,#N/A,#N/A
